-75.994	-45.5215176462
-76.0380758082	-45.4242617441
-76.082	-45.3269889492
-76.081	-45.2809696078
-76.048	-45.1925411653
-76.008	-45.1048221123
-76.006	-45.0127822043
-76.006	-44.9228970991
-76.0175	-44.878161075
-76.0943344336	-44.8147460746
-76.171	-44.7512796705
-76.045863429	-44.688062918
-75.921	-44.6247098198
-75.928	-44.5800896177
-75.932	-44.4906829359
-75.949	-44.4022613152
-75.941	-44.3120254926
-75.9625	-44.268147185
-75.9061650613	-44.1791278924
-75.85	-44.0900809995
-75.855	-44.0420630501
-75.863	-43.9501063505
-75.855	-43.8602168988
-75.86	-43.8194066028
-75.930845197	-43.7437875875
-76.0015115906	-43.6681249253
-76.072	-43.5924188413
-76.072	-43.5924188413
-76.072	-43.5924188413
-75.9848799819	-43.5508915586
-75.8978800318	-43.5092982175
-75.811	-43.4676390047
-75.9451120832	-43.4170686034
-76.079	-43.3663417455
-75.9414225695	-43.3322238096
-75.804	-43.2979411649
-75.88856606	-43.2503571233
-75.973	-43.2027108875
-75.8796612654	-43.1445766945
-75.7865	-43.0863667776
-75.7865	-43.0863667776
-75.6973810395	-43.0042878014
-75.6085	-42.9221398692
-75.621	-42.8742931735
-75.628	-42.8309499664
-75.7195407277	-42.7606327491
-75.8108738051	-42.6902427938
-75.902	-42.6197804439
-75.897	-42.5749268376
-75.803	-42.4996875731
-75.769	-42.4597583531
-75.6698840177	-42.3862551129
-75.571	-42.3126666987
-75.571	-42.3126666987
-75.5144256255	-42.229587978
-75.458	-42.1464815299
-75.479	-42.1004587822
-75.479	-42.0085610127
-75.47	-41.9169390617
-75.432	-41.8254587731
-75.432	-41.7335873164
-75.432	-41.6416397719
-75.441	-41.5501654592
-75.441	-41.4581151709
-75.452	-41.4083495995
-75.5025660409	-41.3231413615
-75.553	-41.2379110514
-75.6470972442	-41.1701708464
-75.741	-41.1023542209
-75.8160985202	-41.0158456856
-75.891	-40.929288537
-75.891	-40.929288537
-75.7782148721	-40.9253716045
-75.6654433007	-40.9213447989
-75.5526856571	-40.9172081493
-75.4399423122	-40.9129616853
-75.3272136365	-40.9086054375
-75.2145	-40.9041394372
-75.212	-40.8601830347
-75.149	-40.7784437576
-75.149	-40.6945458165
-75.151	-40.6106047944
-75.151	-40.526579897
-75.151	-40.4423396796
-75.195	-40.3589
-75.219	-40.2654012157
-75.243	-40.1718975376
-75.249	-40.0796649508
-75.249	-39.9865811312
-75.244	-39.8964739796
-75.21	-39.8120094228
-75.193	-39.7332000579
-75.16	-39.6482023157
-75.144	-39.5648136309
-75.122	-39.4816988267
-75.122	-39.3946006354
-75.118	-39.3042069888
-75.109	-39.220403786
-75.088	-39.136596706
-75.056	-39.0555803614
-75.044	-38.9675039404
-75.036	-38.8738707318
-75.002	-38.7891980296
-74.999	-38.6975564145
-74.999	-38.606908772
-75.002	-38.5047871979
-75.0145	-38.4515090736
-75.0778269884	-38.3634195593
-75.141	-38.2752960661
-75.0504465964	-38.2324160265
-74.96	-38.1894664986
-74.954	-38.1423098262
-74.952	-38.0912609325
-74.94	-38.021762322
-74.913	-37.9762058382
-74.8520671151	-37.9160179738
-74.7912338907	-37.8557987459
-74.7305	-37.7955482736
-74.717	-37.7482660604
-74.686	-37.6547982691
-74.673	-37.5553366055
-74.668	-37.459832937
-74.6	-37.375200753
-74.588	-37.2774511316
-74.588	-37.1836294711
-74.577	-37.0898066687
-74.577	-36.9959827307
-74.615	-36.8949601881
-74.634	-36.7958902744
-74.634	-36.6934953006
-74.634	-36.5851767526
-74.576	-36.4976607031
-74.51	-36.4135158704
-74.503	-36.3123587938
-74.4815	-36.2685710346
-74.4262018506	-36.2003608377
-74.371	-36.1321252491
-74.2944480404	-36.0787409758
-74.218	-36.0253080883
-74.182	-35.9874152691
-74.14	-35.8994636765
-74.033	-35.8377315442
-73.976	-35.7557720166
-73.934	-35.6677487677
-73.897	-35.5777
-73.864	-35.4926055502
-73.831	-35.4075019828
-73.798	-35.3223893492
-73.738	-35.2429713052
-73.709	-35.1578334934
-73.709	-35.064720247
-73.709	-34.9681885624
-73.711	-34.8772286609
-73.706	-34.7693337325
-73.68	-34.6832819907
-73.603	-34.6202067162
-73.493	-34.5731397923
-73.406	-34.5145263036
-73.353	-34.4398408278
-73.353	-34.3399765944
-73.351	-34.2318919515
-73.312	-34.1595658301
-73.308	-34.0619304568
-73.28	-33.9753632485
