K,mean_silhouette
2,0.48323006763681275
3,0.21893358605411245
4,0.2184282808677543
5,0.2244724622637636
6,0.204057734454523
7,0.20775604755284607
8,0.2006543329942382
9,0.2075430691164358
10,0.20514867296704709
