trench,profile,lon,lat,z_a,W,theta_l,theta_s,A,S,h_f,d_f,class,age_Ma,sed_m
aleutian,14,183.075,50.4409207713,-7324.59642502,28.02363570267,7.132205754540977,1.9545357499104736,0.5698049187482712,41.20249902875884,695.1110525499998,74.0595081356,1,55.032173537,218.086253124
aleutian,15,183.22,50.452114416,-7329.09332121,34.029005385800005,4.675224096297886,2.554163547187907,0.2933942200514327,54.574230323499506,558.6096440900001,75.0606266091,1,54.9934979034,229.566482275
aleutian,16,183.364,50.4606516096,-7325.33437529,37.0312261473,5.334916049324669,2.2625063282097804,0.404401594177519,59.25428592321564,442.97981980999975,75.06019151155,1,54.9559380225,245.203534655
aleutian,17,183.514,50.4675623462,-7315.766154,37.031817747800005,3.553454328321533,2.164773939705869,0.2428515133577751,54.25472381906379,1134.2850827000002,55.045560036320005,1,54.9437805679,264.843872019
aleutian,18,183.655,50.4846120192,-7312.22476006,33.02812832944,5.611871677368909,2.1103004837024724,0.4534438135578456,51.53751984866527,2133.3192013199996,56.0461521906,1,54.9919992897,288.663033549
aleutian,19,183.817,50.4870398635,-7307.83242101,33.0277986067,5.49359184931725,2.0655848874516565,0.4534894580769996,49.615261218549065,1041.205953612499,55.04481165111,1,55.2465405465,316.54797378
aleutian,20,183.983,50.497319972,-7309.02970962,38.0318402775,4.132785123859761,1.9100964303965509,0.3678193380933731,54.6028099797156,555.653686839999,82.06484836161,1,55.7113467355,349.98238613
aleutian,21,184.107,50.4871980296,-7313.63685626,33.0276222879,6.4954275613921295,1.7557896048426382,0.5744168237317531,48.64374373729142,507.8241825349997,80.06358532995,1,55.9859953146,367.91467467
aleutian,22,184.26,50.4974292323,-7309.28521059,28.0237003976,3.6788558452254496,2.3823848751966277,0.213895311179547,40.18871631012451,539.2076523350006,71.05690866725,1,56.5821528028,399.489384071
aleutian,23,184.392,50.4974292323,-7314.2395802,37.046298480199994,2.6997540197773557,2.8495637333443997,-0.0269960597377522,57.634189759484215,505.3775733000002,70.0845556318,1,56.9821066973,420.852993761
aleutian,25,184.566,50.5842675678,-7315.50380438,37.0348020871,4.540715100657786,1.924427673301096,0.4046758932988925,56.3363717360954,293.18599234500016,62.0563525108,1,58.2593917351,500.775836469
aleutian,26,184.6385,50.5902223254,-7316.92703227,30.02551965159,8.376158866200386,1.6868164215799029,0.6647479749596037,44.384031745512424,643.8612961224999,74.06018605517,1,58.5328118449,516.4397623
aleutian,27,184.789787008,50.5787960293,-7307.4312708,36.0316923523,3.091638644195855,1.9685916447207423,0.2219359466573918,53.21255847511802,549.5168861025004,73.06100636934,1,58.841455578,529.114480028
aleutian,28,184.941,50.5671738707,-7301.88237902,40.0347287993,1.9674693332474555,2.66107530388203,-0.1498540091999053,57.49063406327194,494.60839534499974,66.05402428578,1,58.2751861505,537.442487529
aleutian,29,185.009,50.5884431209,-7302.77413316,45.0410659178,2.0161264192735837,2.3039239073154354,-0.0666190128088363,64.23933234883312,494.4280884099999,66.05712719023,1,58.1453155836,560.815466841
aleutian,30,185.153,50.5904775783,-7305.50682566,45.0443220225,2.134552934295826,2.43921679714313,-0.0666111065349707,64.63372881084916,352.2798302499996,59.055668714,1,57.3985886951,573.781772634
aleutian,31,185.271,50.6332165796,-7302.04662793,34.036960846300005,3.4226988876009727,2.3973958249349443,0.1761660442496967,50.51010113070565,495.98594842500006,61.0641398441,1,57.2587117714,616.318248255
aleutian,32,185.401,50.6495867657,-7303.67089542,40.0410936382,2.543340636794782,2.301452421291003,0.0499274608024952,58.18343852243107,803.675289455,75.0734342954,1,56.8585351217,637.619487234
aleutian,33,185.527,50.6836223723,-7311.62894545,37.0397381504,3.3270868151519437,2.0266656862224393,0.2428990000183363,53.14140434741382,511.5046421750003,82.0841691671,1,56.6888647537,671.458814654
aleutian,34,185.653,50.7067394756,-7318.85522171,36.0339025774,4.649813786495473,2.049596611595626,0.3881262708791123,54.243150405910015,434.2378912450003,81.0726046899,1,56.5235592902,694.062796871
aleutian,35,185.788,50.7175220515,-7308.61887108,39.0368633402,3.1403295445580177,2.1857639042158103,0.179224350740967,58.96221448154613,966.8474764525,88.07834849165,1,56.4945294248,704.926894362
aleutian,36,185.915,50.740399414,-7310.99020944,35.03319232446,5.186887631711573,1.7998323335533402,0.4847847509270836,52.32905194509339,1029.940519084999,81.0733090923,1,56.5443689268,724.341595136
aleutian,37,186.047,50.751992348,-7314.32927436,40.037787095599995,3.1197942981012994,2.0810615597666606,0.1997234237444252,61.93343317003238,584.4136462549995,61.0554324382,1,56.6322190991,732.712834606
aleutian,38,186.176,50.772304252,-7313.65750266,41.0421017209,3.57745837800216,2.065765001408603,0.2678776427863822,65.86984428978224,576.38052806,61.060618975,1,56.7212348227,747.55314234
aleutian,39,186.298,50.7991247224,-7311.46289693,42.0428269217,2.665839937742338,2.202781572313171,0.0951107750875232,66.14693329473656,421.92337534999933,65.06364349064,1,56.8187632907,766.951442923
aleutian,40,186.438,50.8190022097,-7311.13811679,43.0389827671,4.57393759952283,2.2117762998021897,0.348108000833281,72.9672735557058,168.04059114999927,65.05669781802001,1,56.9038114347,777.951137527
aleutian,41,186.568,50.8190022097,-7313.43535601,43.0383635705,4.755781127369302,2.0647512149122864,0.394548369160994,70.51301543787471,273.41265792000013,68.0582784073,1,56.9602762221,770.204765754
aleutian,42,186.707,50.8305703477,-7313.51181859,35.034218099300006,4.057747832575151,2.7077431431358594,0.1995427522238938,57.70954748731103,872.9676782249999,69.0645747775,1,57.0345163215,771.738812677
aleutian,43,186.848,50.8584318072,-7318.22813011,42.0410284711,3.5984732154854897,2.0010270655776714,0.2852836984954157,64.23015646978749,-364.6380366125004,48.04572549733,1,57.1391585417,785.595924927
aleutian,44,186.998,50.8714660754,-7318.88642536,43.03961368632,7.198015057576616,1.653560367034094,0.6263805508708485,66.43359765102211,-32.413739624999835,47.0426566619,1,57.3032531251,783.363799475
aleutian,45,187.135,50.8849006863,-7311.5462944,38.03530327621,8.172004348662043,1.85730407267545,0.6296246970082184,62.06321167888652,-124.00395837999986,65.058567551,1,59.061312205,782.175444168
aleutian,46,187.277,50.8979710877,-7308.03354787,43.0399396106,6.430599847632242,1.956187256909419,0.5335073532866732,71.52993228602054,-179.7934068250006,80.0711896283,1,61.8599639457,778.306413006
aleutian,47,187.419,50.9108694994,-7305.26976851,43.04286924750001,7.201047778187483,1.915601103678378,0.57975762179703,73.83121878182344,-65.68567792749946,71.06859445416,1,62.4589772652,773.022262216
aleutian,48,187.553,50.9409264112,-7305.79408388,46.0451731979,6.311191613281721,1.990838692973817,0.5203971511706649,82.58479223948105,123.32062782249976,89.08349839526001,1,62.3494351667,780.035998955
aleutian,49,187.702,50.9501189822,-7300.21315545,42.0382921243,4.687728036812117,1.8786670111511228,0.4277934856405428,69.69427200559667,321.19911221500024,88.0759885973,1,62.3044502801,765.89362584
aleutian,50,187.845,50.9535961414,-7299.912244,61.0570759776,2.5353256297810973,2.151668268265806,0.0818557416247466,103.08546386483071,-543.6616852750003,49.0443711646,1,62.290903763,746.819775504
aleutian,51,187.986,50.9705103876,-7295.14265545,45.0432969898,2.592435139026482,2.0745209799730335,0.1109747222488299,66.71895915125609,-129.24512007999965,49.0456786958,1,62.2195138632,736.036444976
aleutian,52,188.128,50.9828341786,-7289.94456752,55.0545724043,2.5171157852962964,1.8098066564994368,0.1634670226497789,86.38659257612062,-289.8506504200004,42.0407392017,1,62.1720202312,718.620840137
aleutian,53,188.267,51.0082480462,-7281.77516203,37.03569384991,14.492165105883316,1.794529136556566,0.7796324889699985,62.9798446921043,-1.3723484849997476,66.0620134494,1,62.0651224085,708.08773098
aleutian,54,188.425,51.0176366657,-7277.93163199,54.05100109,2.1422284918289773,1.9894132723536289,0.0369865608388682,81.62693001161695,252.6276910000006,68.0611465987,1,62.0231884105,679.123883322
aleutian,55,188.592,51.0299299884,-7276.45470331,57.0609569522,2.2656381372803485,2.1876721355518094,0.0175074263754264,92.19289802799231,-45.4273747999996,72.0736165042,1,61.9677806931,647.27689298
aleutian,56,188.731,51.0743737416,-7277.54482432,51.0556610918,2.83518026864755,1.8300815334029816,0.2154431579387023,80.09695327777193,-6.256390539999302,55.0584373575,1,61.7669891988,636.2148137
aleutian,57,188.884,51.088434625,-7270.13672464,52.0497856512,2.8106247784671203,2.0619622860021294,0.1536478430368569,83.30603264044812,-106.99835095000071,54.0500017125,1,61.7087263741,600.477104311
aleutian,58,189.039,51.0979756546,-7267.65623555,51.050000466499995,2.7627797425521203,1.9347773169644975,0.1762623455334515,79.79409923037767,80.09178800999962,77.0719306154,1,61.665118688,559.374393764
aleutian,59,189.189,51.1204455506,-7263.5026051,38.043348424,5.012649296036205,1.7942706676590614,0.4728098237591125,59.4990225106745,-429.301731865,37.0417530288,1,61.5598542498,522.093812665
aleutian,60,189.329,51.1648244066,-7263.03326033,39.0452175006,3.1839216538269244,2.461385259849573,0.127988859600691,61.074432368064315,-84.2774413774996,61.06852000783,1,61.3587102804,494.714615336
aleutian,61,189.476,51.1879212433,-7260.20268913,32.031185407500004,4.63984540255465,2.434309178521912,0.3117738238195375,53.40416621549437,-782.0161872025001,31.02976699894,1,61.2533961436,451.962031329
aleutian,62,189.637,51.1915916773,-7260.39073053,37.0353206705,3.693926095132587,2.2504962729987157,0.2428208718600239,60.54669405824588,161.23469892999947,60.0551743675,1,61.2329354212,394.487404505
aleutian,63,189.79,51.2013277963,-7261.49901155,43.0413240547,2.604696559158501,2.0626424043107625,0.1161377305334657,67.816365115669,142.5794596249998,83.0753182375,1,61.1845767293,341.461918976
aleutian,64,189.879,51.203288497,-7251.82666131,49.06212214029999,3.83551280356644,1.386890277459993,0.4688689264531424,72.94380123896727,382.56896532500014,105.12773905356,1,61.1677716303,310.591013671
aleutian,65,190.008574881,51.2653898909,-7244.95317053,47.0755253026,3.4900396835075633,1.6375784025525455,0.3612713056752609,70.30007792660481,256.4564305449994,87.1364605181,1,60.8859736439,298.741932855
aleutian,66,190.1385,51.3273478708,-7246.97140958,39.058371774730006,5.700040109239841,1.715201647705079,0.5373848341225917,60.573183260079055,337.507839150001,89.1297239487,1,60.60443451,314.868320869
aleutian,67,190.202,51.3455462984,-7247.22750593,39.05131416786,5.662815929936793,1.7039363871582087,0.5373982146232554,59.464439912797665,278.83431737499996,84.1072611009,1,60.5165792207,323.196597982
aleutian,68,190.326,51.3859875618,-7240.90170512,41.0494647741,5.08125296910449,1.643017104573935,0.511317336581889,62.029206290266,302.40124536000076,85.0990645426,1,60.3354165092,337.476598093
aleutian,69,190.461,51.4095571439,-7241.63656146,41.0450003469,5.045679835377508,1.6314624858788351,0.5113291263284423,59.37505439675237,341.4494073800006,85.0896849582,1,60.228872745,343.525769318
aleutian,70,190.597,51.4329706964,-7228.22817245,42.046702463299994,5.518066958908022,1.5092901528086384,0.570452980027951,58.41922976981156,333.14859156999955,94.10017354788,1,60.111951285,347.143955037
aleutian,71,190.726,51.4574756817,-7224.87517168,30.03242748662,6.139067472077535,2.239873604679284,0.4653564014448811,44.66335884384743,93.92953915999988,57.0599744949,1,59.9915351727,352.092982114
aleutian,72,190.814,51.4658031701,-7224.19892389,32.0395720353,3.0021485905841527,3.401619277549037,-0.0623805695632338,46.85497700178579,141.18857233249946,56.0671813293,1,59.9477901523,350.74985833
aleutian,73,190.943367731,51.5124033469,-7229.18460747,29.04141880591,7.674212197853277,2.4550409849058723,0.515257257250799,44.783868682585165,101.64962657999968,63.0881763603,1,59.7312775762,363.382841144
aleutian,74,191.073,51.5588609408,-7226.92275134,40.0491952431,3.7535446533828543,2.023246182795701,0.2995258993541429,62.36124425345802,128.17901099000028,66.07888767169001,1,59.5177909718,374.637017377
aleutian,75,191.151,51.5624080733,-7226.19911223,38.0509909385,3.14149950482335,2.5440564666940486,0.1050808471717237,60.95973994108529,54.3575967099996,61.0797066458,1,59.4963440282,372.963772944
aleutian,76,191.278,51.6210418571,-7233.99596987,38.0591674891,5.160232701707011,2.107114674385833,0.420114502488889,62.8038271580488,-99.84542155999952,45.0693250069,1,59.2214397714,390.114530775
aleutian,77,191.408,51.6708732031,-7230.7092539,37.04351895705,6.325022729903288,1.7514528732162793,0.5662828789974245,57.82210016279677,-40.019365735000065,45.0522232049,1,58.9917516574,405.130726269
aleutian,78,191.568,51.6792406703,-7226.40440188,36.0400520859,5.419964839423497,1.8115027730513296,0.4989944309710104,55.7360867770409,197.37010253000065,43.047123505,1,58.9333991285,399.435236035
aleutian,79,191.708,51.7163413124,-7224.10966856,39.0469723093,5.461184615350998,1.8882545643826312,0.4861500263613125,61.8991545364464,308.71772457500083,64.0752137527,1,58.7565740778,406.95410011
aleutian,80,191.856,51.7408581172,-7227.64235918,37.04303630262,7.772105791289349,1.8241246652170653,0.619824748168636,59.46152459644477,326.68355211499966,49.0561566241,1,58.6309009382,408.458941865
aleutian,81,192.0,51.7704517521,-7205.6629318,39.0422682098,4.047128774171941,2.026144832472483,0.3327668194445272,60.587876442592595,400.6240146299997,50.0529408235,1,58.4792809907,410.386287154
aleutian,82,192.156,51.7734720898,-7200.57812141,28.0300129312,4.681336067965029,3.033079399299229,0.2136593077803621,44.36441996828324,237.1516912549996,48.0500827626,1,58.44505927,399.409047431
aleutian,83,192.295,51.7965724826,-7197.32896756,27.0333199395,4.987444475928803,3.433498737916041,0.1845334540978646,43.62042278197883,215.74406395000096,44.0531905404,1,58.3258005886,399.439083007
aleutian,84,192.3635,51.8190682839,-7187.79110777,42.0701134119,2.741561622310083,3.3176310845558556,-0.0950736327618369,63.91279361219584,144.7041776549995,62.1012538897,1,58.2140529502,404.753921406
aleutian,85,192.488563104,51.8862054825,-7178.17598581,36.064487286,4.289581557000772,3.066849097842085,0.1662127350243888,56.48758815408659,69.40989837000052,63.1109898783,1,57.9020646174,429.397417154
aleutian,86,192.614,51.9532097175,-7179.52638858,35.0570328122,4.6595496437924355,2.7573795061762567,0.2564633016110458,55.128207320652315,811.6710476500002,57.09134850892,1,57.5912149906,455.661948422
aleutian,87,192.684,51.9713241751,-7185.05109497,34.0373146291,4.518890827776041,2.4685014073172966,0.2934412941871089,51.93083709719341,371.3322805449998,78.0820061033,1,57.503155806,459.83889693
aleutian,88,192.85,51.9734403235,-7171.68456727,30.0353835087,4.013975999246765,3.513644785242897,0.0664660492774527,46.47637339339012,835.0230921899993,54.0618305087,1,57.4626703961,448.705724883
aleutian,89,192.986,52.0199059058,-7170.33886782,41.0636775051,4.24187196953663,2.450278149843255,0.2677157248019698,63.96597365246417,-113.14186729499944,53.0810227547,1,57.2404590029,464.73054712
aleutian,90,193.118,52.0768224681,-7166.17883545,45.0685935368,4.389971614742409,2.1982699112379205,0.332668693893757,71.63109944915824,-274.1398586999994,41.0618698491,1,57.0043669059,485.90340385
aleutian,91,193.268,52.1232156959,-7165.98054954,32.0441052526,4.296369294819052,3.344161791202208,0.1246258267777951,50.51502119372408,253.81014723500084,65.0871150233,1,56.8127900933,497.980650806
aleutian,92,193.423,52.161197432,-7150.26165664,40.0551157942,5.341249713985629,2.2945907920856925,0.3989945729586038,64.60329520329212,208.09325744000031,67.0901882401,1,56.6605125933,503.157061254
aleutian,93,193.561,52.2045280412,-7145.21100088,38.0484060941,5.390804374904038,2.201726990292423,0.4200282134137875,57.87031241770932,172.37305887999992,70.0867231824,1,56.4989145609,513.619321896
aleutian,94,193.718,52.2230761881,-7131.09320898,38.0468403453,4.1686291216284355,2.434594443070217,0.262604266169103,60.31403848593688,398.7652464849998,89.1050839014,1,56.4082210559,502.115581375
aleutian,95,193.863,52.2578448847,-7126.59599874,45.0651577882,4.0751412278116925,2.4768971967575593,0.2439308086260507,74.96827561485487,62.11819522500082,85.1192296387,1,56.2732504342,500.624253537
aleutian,96,193.997,52.3088662881,-7114.85762459,51.0843807728,4.015737073890311,2.1929869793650063,0.2935788543492463,84.09464125580678,-84.12675971000044,65.10571400038,1,56.0793451193,503.193793539
