trench,profile,lon_x,lat_x,z_a,W,theta_l,theta_s,A,S,h_f,d_f,lon_y,lat_y,age_Ma,sed_m
philippine,54,126.620375431,10.4208108645,-9976.40081191,54.9919626832,7.641841385668941,6.379713218961368,0.09001342592145829,127.01557472287348,-207.75556211499952,50.9926995398,126.620375431,10.4208108645,,627.716354178
philippine,55,126.6499846,10.3249365317,-10019.249557,51.9943104404,9.639802905147524,6.059662589861375,0.2280421786604347,126.20653600481059,-151.75343125750078,54.9941238742,126.6499846,10.3249365317,,635.903820654
philippine,56,126.668332582,10.2318602199,-10011.031331,63.9871712459,8.397596794804064,4.734048087153395,0.2789862763258463,147.11704409896336,-313.06075216999943,54.9891158218,126.668332582,10.2318602199,74.7188157946,650.144402092
philippine,57,126.702231181,10.1496612291,-9981.90415793,65.9688931644,7.996912723538037,4.589700327148898,0.27070129054322395,158.3502049122748,-28.431236739999804,79.9627507922,126.702231181,10.1496612291,74.8197415549,652.504409084
philippine,58,126.736112549,10.0674588528,-9844.43117391,66.9834219551,7.540779128005421,4.505325689263739,0.2519863046841573,159.53630587390361,-370.9277874999989,76.9812811772,126.736112549,10.0674588528,,655.002651338
philippine,59,126.755622262,9.98147601968,-9709.53229758,55.004305447600004,7.160052954393781,5.5548260683789135,0.12624790870128316,132.8405547752056,-162.22516255499977,72.0057630013,126.755622262,9.98147601968,75.2891207041,666.486611631
philippine,60,126.756827524,9.88919691872,-9673.67726936,66.9809824065,8.792419361451467,3.765653524196202,0.4002816262517667,148.77151348895774,-223.69008220249998,69.9803532862,126.756827524,9.88919691872,75.5244326638,689.075654193
philippine,61,126.811368264,9.8132822046,-9532.12061687,62.9557521719,7.919699996160923,3.97882914284057,0.3312065556407979,141.2727839236856,-202.86721879749985,68.9518823736,126.811368264,9.8132822046,75.6999126903,669.141315081
philippine,62,126.836428112,9.72855306833,-9703.71741714,58.9715343647,9.862924103337406,4.3648611009902964,0.386431403299141,139.73297297532469,-200.84880381499988,102.951035074,126.836428112,9.72855306833,75.8988444337,667.276731536
philippine,63,126.878991646,9.6488530051,-9702.37322735,55.9846148587,7.807009412225605,5.0697983045083355,0.21256907518780072,133.8183000608657,-335.48275359499985,72.9802590392,126.878991646,9.6488530051,76.082657826,649.566753699
philippine,64,126.89088843,9.56034700689,-9878.14140696,53.001012573,8.834413831688384,5.381140558728481,0.242922166671731,120.37472387620402,-203.87570655000036,72.0015266101,126.89088843,9.56034700689,76.2754293226,649.227430979
philippine,65,126.906781161,9.4743333209,-10078.2089549,54.986062155300004,10.121295118813409,5.382154272614352,0.3056829952190797,129.13468265939318,-272.77372603250024,72.9817752712,126.906781161,9.4743333209,76.4529431772,641.89065817
philippine,66,126.943731414,9.39092244955,-10082.7883641,58.970641436499996,9.627731835349664,4.97175781449497,0.3189134779724469,136.052818669526,-325.38029280750015,66.9669357954,126.943731414,9.39092244955,76.6219509959,616.066429731
philippine,67,126.976706424,9.30494208274,-9928.26801609,51.993369591800004,7.806193717898431,6.205319504865829,0.11425419849953744,120.46467223653686,-265.14841893500034,58.9926430836,126.976706424,9.30494208274,76.8018850383,588.630963245
philippine,68,126.987993229,9.21204166885,-9843.56130821,52.987483815999994,9.186327850100383,5.1639361090935845,0.28030088871150843,117.07261966270538,-172.16637687999992,63.9850841767,126.987993229,9.21204166885,76.9870220676,573.437052962
philippine,69,127.029608031,9.12882363266,-9756.67218086,56.957909227900004,8.707265744548746,4.732383979261084,0.29575783945066053,123.9083749289012,-228.6235593525007,62.9537620752,127.029608031,9.12882363266,77.0937185101,531.259710059
philippine,70,127.071203621,9.04560100682,-9827.39773182,38.9906101519,9.121919698590567,7.836277632902109,0.07581242513913442,94.58774396555518,125.6207081499997,77.9815833233,127.071203621,9.04560100682,77.21516626,485.478413517
philippine,71,127.08245835,8.95269779196,-9364.69329193,46.9977555579,9.039937496093863,4.6943380561443195,0.31640543568687685,97.19846462386208,70.0260211524992,59.9972450446,127.08245835,8.95269779196,77.4015735412,463.420128699
philippine,72,127.106699286,8.86394105013,-8969.27590152,46.9827189093,8.057513629646555,3.796478290359604,0.3594599496980877,84.89129632231104,117.02211373250066,60.9777612947,127.106699286,8.86394105013,77.5193015913,429.325873045
philippine,73,127.144632738,8.77704183834,-8746.75585842,38.9881185214,5.031398857424365,6.499965190015087,-0.12735408634651668,68.95028052861879,44.257198600000265,60.9816772874,127.144632738,8.77704183834,77.6263734236,381.966723611
philippine,74,127.164628402,8.68586265014,-8663.15096162,39.0012510254,4.679135454799996,5.454615463414491,-0.07652447892918313,64.59573251998775,488.42542458000025,39.0012942595,127.164628402,8.68586265014,77.7486010578,362.853210308
philippine,75,127.168128161,8.59468995116,-8347.01160188,34.0029295985,4.999212344406867,4.446107971170276,0.058558561780526944,57.04659853179996,358.9250494174994,41.00355107225,127.168128161,8.59468995116,77.896318156,385.306157278
philippine,76,127.175165194,8.49887064893,-8656.15869248,37.991626103499996,7.2202050442765415,4.226531445418927,0.2615307517171,72.19078094343948,254.48319956999967,47.989523546175,127.175165194,8.49887064893,78.2013514161,421.501191448
philippine,77,127.218180953,8.41814991713,-9033.79152359,36.991739689,8.014311078316046,5.48340722803314,0.18750605049242997,72.51505950792328,49.26273543999923,56.9874315058,127.218180953,8.41814991713,78.4469790033,424.42230169
philippine,78,127.224307818,8.32581476645,-9085.13288647,34.9992911311,11.016143344427684,5.098708265506612,0.3672038205597352,68.1113733083708,83.47392798500005,48.9990648415,127.224307818,8.32581476645,78.7632781891,454.761873659
philippine,79,127.247989656,8.23812313817,-9116.60952405,39.9922332529,9.620254771245929,4.665649871149153,0.3468177216718506,75.00845720058757,-73.82686037000076,46.9909531637,127.247989656,8.23812313817,79.0357106611,463.804056334
philippine,80,127.272995765,8.14388316413,-9275.7481356,39.9922874887,7.77377803440984,5.761841467124941,0.14864015400675004,78.39328583061649,177.04427660750025,41.9919775169,127.272995765,8.14388316413,79.3071312042,468.240135305
philippine,81,127.299510683,8.04411724061,-9238.3251622,39.9999503869,7.045500016792388,6.38031343434189,0.0495453467211925,78.97571191129666,635.56625927,59.000019740625,127.299510683,8.04411724061,79.5547464581,466.222554761
philippine,82,127.301161272,7.95008273786,-8949.36894586,57.0048446128,5.494074557465291,5.689025813810995,-0.017432666244008178,122.92266976382534,209.74515515500025,41.0034875446,127.301161272,7.95008273786,79.8080790071,479.413959531
